Timestamp,Timestamp (s),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,Powertop Version,Kernel Version,System Name,CPU Stats,OS Stats,Power Usage,Unit,Baseline Power,Unit,Signatures Power,Signatures Unit,
2022-02-02 14:17:48.057962,1643811468.057962,17.5,600.0,8.7,377208832,0.0,0,7.7,9238339584,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:17:50 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.68,W,0,,
2022-02-02 14:17:53.120422,1643811473.120422,18.8,600.0,8.7,376913920,0.0,0,7.7,9238339584,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:17:55 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.91,W,0,,
2022-02-02 14:17:58.237588,1643811478.237588,18.3,600.0,8.7,376643584,0.0,0,7.7,9238339584,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:00 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.75,W,0,,
2022-02-02 14:18:03.357342,1643811483.357342,18.4,600.0,8.7,376590336,0.0,0,7.7,9238339584,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:05 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.79,W,0,,
2022-02-02 14:18:08.482770,1643811488.48277,18.2,600.0,8.7,377466880,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:10 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.95,W,0,,
2022-02-02 14:18:13.625946,1643811493.625946,18.3,600.0,8.7,376827904,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:16 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.47,W,0,,
2022-02-02 14:18:18.737656,1643811498.737656,18.1,600.0,8.7,377032704,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:21 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.54,W,0,,
2022-02-02 14:18:23.813130,1643811503.81313,18.7,600.0,8.7,376725504,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:26 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.22,W,0,,
2022-02-02 14:18:28.866773,1643811508.866773,17.4,600.0,8.7,376537088,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:31 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.24,W,0,,
2022-02-02 14:18:33.923150,1643811513.92315,18.1,600.0,8.7,376807424,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:36 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.01,W,0,,
2022-02-02 14:18:38.972042,1643811518.972042,18.3,600.0,8.7,376586240,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:41 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.39,W,0,,
2022-02-02 14:18:44.071316,1643811524.071316,17.6,600.0,8.7,376614912,0.0,0,7.7,9238343680,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:46 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.31,W,0,,
2022-02-02 14:18:49.142148,1643811529.142148,18.6,600.0,8.7,376643584,0.0,0,7.7,9238331392,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:51 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,2.03,W,0,,
2022-02-02 14:18:54.272321,1643811534.272321,19.0,600.0,8.7,377344000,0.0,0,7.7,9238331392,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:18:56 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.50,W,0,,
2022-02-02 14:18:59.402174,1643811539.402174,18.0,600.0,8.7,376954880,0.0,0,7.7,9238331392,v2.11-1-g7ef7f79 ran at Wed Feb  2 14:19:01 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,1.52,W,0,,
