Timestamp,Timestamp (s),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,Powertop Version,Kernel Version,System Name,CPU Stats,OS Stats,Power Usage,Unit,Baseline Power,Unit,Signatures Power,Signatures Unit,
2022-01-31 16:36:04.359745,1643646964.359745,14.7,600.0,15.3,932040704,0.0,0,7.6,9175748608,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:06 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,344,mW,0,,
2022-01-31 16:36:09.473342,1643646969.473342,12.8,600.0,15.3,931643392,0.0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:11 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,293,mW,0,,
2022-01-31 16:36:14.577858,1643646974.577858,13.0,600.0,15.3,931856384,0.0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:16 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,311,mW,0,,
2022-01-31 16:36:19.680857,1643646979.680857,13.2,600.0,15.3,931356672,0.0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:22 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,303,mW,0,,
2022-01-31 16:36:24.782539,1643646984.782539,12.9,600.0,15.3,932032512,0.0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:27 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,318,mW,0,,
2022-01-31 16:36:29.879944,1643646989.879944,13.0,600.0,15.3,932196352,0.0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:32 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,287,mW,0,,
2022-01-31 16:36:34.987621,1643646994.987621,13.0,600.0,15.3,931319808,0.0,0,7.6,9175748608,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:37 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,348,mW,0,,
2022-01-31 16:36:40.093414,1643647000.093414,12.9,600.0,15.3,931831808,0.0,0,7.6,9175748608,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:42 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,316,mW,0,,
2022-01-31 16:36:45.212775,1643647005.212775,13.3,600.0,15.3,931463168,0.0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:47 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,365,mW,0,,
2022-01-31 16:36:50.313951,1643647010.313951,12.9,600.0,15.3,931385344,0.0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:52 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,438,mW,0,,
